Species,Jan_W1,Jan_W2,Jan_W3,Jan_W4,Feb_W1,Feb_W2,Feb_W3,Feb_W4,Mar_W1,Mar_W2,Mar_W3,Mar_W4,Apr_W1,Apr_W2,Apr_W3,Apr_W4,May_W1,May_W2,May_W3,May_W4,Jun_W1,Jun_W2,Jun_W3,Jun_W4,Jul_W1,Jul_W2,Jul_W3,Jul_W4,Aug_W1,Aug_W2,Aug_W3,Aug_W4,Sep_W1,Sep_W2,Sep_W3,Sep_W4,Oct_W1,Oct_W2,Oct_W3,Oct_W4,Nov_W1,Nov_W2,Nov_W3,Nov_W4,Dec_W1,Dec_W2,Dec_W3,Dec_W4
Snow Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0043478,0.0,0.0,0.0050251,0.0307018,0.0060976,0.0,0.0081967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217391,0.0,0.0,0.011236,0.0,0.0,0.0
Ross's Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060976,0.0,0.0081967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater White-fronted Goose,0.0,0.0,0.0,0.0104167,0.0,0.0,0.0043478,0.0,0.0,0.0050251,0.0087719,0.0243902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120482,0.0,0.0,0.0,0.0
Cackling Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303,0.0120482,0.0,0.0,0.0,0.0
Canada Goose,0.1915888,0.1578947,0.1171875,0.09375,0.0816327,0.0916031,0.0782609,0.2916667,0.4122137,0.4522613,0.5350877,0.5304878,0.5034483,0.5081967,0.362069,0.4383562,0.5446429,0.3267327,0.3125,0.3169014,0.3064516,0.137931,0.1509434,0.1666667,0.15625,0.1,0.1052632,0.2222222,0.1969697,0.1627907,0.1875,0.1176471,0.21875,0.25,0.3636364,0.1891892,0.375,0.2264151,0.375,0.2818182,0.2714286,0.2173913,0.4141414,0.2048193,0.2247191,0.2909091,0.2352941,0.1987952
Mute Swan,0.0607477,0.0614035,0.078125,0.0625,0.0816327,0.0305344,0.0347826,0.125,0.0992366,0.1155779,0.1096491,0.1829268,0.1448276,0.0655738,0.137931,0.1027397,0.0446429,0.029703,0.015625,0.0422535,0.0015,0.0229885,0.0188679,0.0520833,0.0208333,0.04,0.0,0.031746,0.0151515,0.0930233,0.046875,0.0015,0.125,0.0277778,0.0681818,0.0015,0.075,0.0377358,0.171875,0.1090909,0.0285714,0.1956522,0.0707071,0.0240964,0.0337079,0.0727273,0.0252101,0.0421687
Trumpeter Swan,0.1028037,0.1052632,0.078125,0.0833333,0.0816327,0.0610687,0.0956522,0.1388889,0.1450382,0.0753769,0.0789474,0.097561,0.062069,0.0327869,0.0517241,0.0684932,0.0714286,0.039604,0.15625,0.0915493,0.0645161,0.0229885,0.0377358,0.0104167,0.0104167,0.0,0.0,0.015873,0.0,0.0232558,0.046875,0.0441176,0.0625,0.0555556,0.0227273,0.0810811,0.0,0.0015,0.15625,0.0909091,0.1285714,0.0869565,0.0909091,0.0843373,0.0898876,0.1090909,0.0504202,0.126506
Tundra Swan,0.0015,0.0350877,0.015625,0.0104167,0.0204082,0.0,0.0086957,0.0138889,0.0458015,0.0502513,0.0526316,0.0914634,0.0896552,0.0081967,0.0172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0090909,0.0142857,0.0217391,0.030303,0.0361446,0.011236,0.0181818,0.0420168,0.0060241
Wood Duck,0.0,0.0175439,0.0015,0.0,0.0102041,0.0,0.0,0.0,0.0076336,0.040201,0.0964912,0.0914634,0.0413793,0.1639344,0.0689655,0.1164384,0.1785714,0.1188119,0.140625,0.0774648,0.1129032,0.1609195,0.0660377,0.1458333,0.0416667,0.1,0.0263158,0.1111111,0.0757576,0.1162791,0.125,0.1176471,0.25,0.1666667,0.1136364,0.1081081,0.1,0.0754717,0.078125,0.0454545,0.0285714,0.0,0.0,0.0,0.0,0.0181818,0.0,0.0
Blue-winged Teal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004386,0.0182927,0.0206897,0.0409836,0.0172414,0.0479452,0.0267857,0.0,0.0078125,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.015873,0.0,0.0,0.015625,0.0147059,0.0,0.0,0.0454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern Shoveler,0.0186916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004386,0.0121951,0.0068966,0.0081967,0.0,0.0136986,0.0089286,0.009901,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.015625,0.0090909,0.0,0.0,0.020202,0.0,0.0,0.0,0.0,0.0240964
Gadwall,0.0046729,0.0,0.0,0.0208333,0.0102041,0.0,0.0,0.0138889,0.0076336,0.0150754,0.004386,0.0121951,0.0413793,0.0491803,0.0172414,0.0068493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232558,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0181818,0.0084034,0.0240964
American Wigeon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0229008,0.0251256,0.0087719,0.054878,0.0551724,0.0655738,0.0344828,0.0205479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.03125,0.0272727,0.0285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0120482
Mallard,0.2009346,0.1929825,0.109375,0.1458333,0.1938776,0.1068702,0.126087,0.2222222,0.3282443,0.2964824,0.3596491,0.4634146,0.2827586,0.4262295,0.2413793,0.3082192,0.3214286,0.2079208,0.21875,0.1830986,0.1774194,0.137931,0.1603774,0.125,0.125,0.1,0.1315789,0.1111111,0.0454545,0.0930233,0.125,0.1176471,0.34375,0.0833333,0.1590909,0.0810811,0.2,0.1320755,0.25,0.2727273,0.2571429,0.2391304,0.2626263,0.1807229,0.2022472,0.2,0.2016807,0.2108434
American Black Duck,0.046729,0.0438596,0.0078125,0.0520833,0.0408163,0.0152672,0.026087,0.0555556,0.0610687,0.040201,0.0350877,0.0731707,0.0413793,0.0163934,0.0172414,0.0,0.0089286,0.009901,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.031746,0.0,0.0,0.0,0.0,0.03125,0.0,0.0227273,0.0015,0.025,0.0,0.015625,0.0272727,0.0285714,0.0869565,0.030303,0.0481928,0.0224719,0.0909091,0.0588235,0.0783133
Northern Pintail,0.0,0.0175439,0.0,0.0,0.0,0.0,0.0,0.0,0.0152672,0.0050251,0.0175439,0.0060976,0.0206897,0.0409836,0.0172414,0.0136986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0168067,0.0
Green-winged Teal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076336,0.0150754,0.0175439,0.0304878,0.0275862,0.057377,0.0172414,0.0273973,0.0267857,0.009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0227273,0.0,0.025,0.0,0.046875,0.0090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0084034,0.0
Canvasback,0.0046729,0.0263158,0.015625,0.03125,0.0408163,0.0,0.0,0.0,0.0076336,0.0100503,0.0087719,0.0426829,0.0482759,0.0737705,0.0172414,0.0,0.0089286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Redhead,0.0093458,0.0175439,0.015625,0.0104167,0.0306122,0.0076336,0.0043478,0.0694444,0.0458015,0.0603015,0.0789474,0.0792683,0.0551724,0.0901639,0.0344828,0.0,0.0089286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0636364,0.0142857,0.0,0.030303,0.0120482,0.0337079,0.0181818,0.0252101,0.0180723
Ring-necked Duck,0.0,0.0087719,0.0078125,0.0104167,0.0204082,0.0076336,0.0086957,0.0416667,0.0839695,0.1356784,0.0964912,0.2865854,0.2068966,0.2540984,0.0689655,0.0958904,0.0446429,0.0,0.03125,0.0,0.0,0.0015,0.0,0.0,0.0104167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0188679,0.046875,0.0363636,0.0,0.0,0.0,0.0120482,0.0,0.0181818,0.0,0.0060241
Greater Scaup,0.0,0.0,0.0,0.0104167,0.0102041,0.0,0.0,0.0277778,0.0229008,0.0201005,0.0,0.0060976,0.0,0.0327869,0.0172414,0.0068493,0.0,0.0,0.0,0.0070423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.011236,0.0,0.0,0.0
Lesser Scaup,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0130435,0.0555556,0.0229008,0.0251256,0.0263158,0.0487805,0.0689655,0.0983607,0.0344828,0.0205479,0.0267857,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,0.0,0.0,0.020202,0.0120482,0.0,0.0,0.0,0.0060241
Long-tailed Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416667,0.0229008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bufflehead,0.0140187,0.0087719,0.0,0.0,0.0,0.0,0.0,0.0277778,0.0610687,0.1005025,0.1140351,0.3292683,0.2896552,0.3278689,0.2241379,0.0958904,0.0982143,0.0,0.0078125,0.0140845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0272727,0.1285714,0.1086957,0.1616162,0.1325301,0.1235955,0.0545455,0.0084034,0.0481928
Common Goldeneye,0.0934579,0.1403509,0.1015625,0.1041667,0.1020408,0.0687023,0.0434783,0.2222222,0.2137405,0.1658291,0.122807,0.1707317,0.1655172,0.0819672,0.0,0.0068493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0272727,0.0428571,0.0217391,0.0808081,0.0722892,0.1123596,0.0909091,0.092437,0.0722892
Hooded Merganser,0.0280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1221374,0.2110553,0.1403509,0.25,0.137931,0.1639344,0.0689655,0.0479452,0.0535714,0.039604,0.0390625,0.0352113,0.0322581,0.0229885,0.009434,0.0,0.0104167,0.06,0.0263158,0.0,0.0606061,0.0,0.015625,0.0,0.03125,0.0277778,0.0227273,0.0,0.0,0.0,0.015625,0.0454545,0.0857143,0.0015,0.1313131,0.1084337,0.0674157,0.0727273,0.0252101,0.0301205
Common Merganser,0.0981308,0.0701754,0.03125,0.0520833,0.0714286,0.0305344,0.0304348,0.1805556,0.2671756,0.2914573,0.245614,0.3292683,0.2551724,0.2213115,0.1034483,0.0273973,0.0089286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031746,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.015625,0.0272727,0.0428571,0.0652174,0.1212121,0.1445783,0.1235955,0.1272727,0.0588235,0.0843373
Red-breasted Merganser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004386,0.0060976,0.0413793,0.057377,0.0,0.0136986,0.0089286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0181818,0.0,0.0217391,0.020202,0.0120482,0.0224719,0.0181818,0.0,0.0120482
Ruddy Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121951,0.0137931,0.0491803,0.0172414,0.0136986,0.0178571,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0142857,0.0,0.030303,0.0,0.0,0.0,0.0,0.0
Northern Bobwhite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wild Turkey,0.0233645,0.0614035,0.0390625,0.1041667,0.0510204,0.0687023,0.0043478,0.0555556,0.0458015,0.040201,0.0526316,0.0853659,0.0068966,0.1639344,0.0862069,0.0479452,0.0803571,0.0990099,0.125,0.0915493,0.0967742,0.1149425,0.0849057,0.03125,0.0625,0.14,0.0789474,0.0952381,0.0606061,0.2325581,0.0625,0.0441176,0.09375,0.0833333,0.1590909,0.0810811,0.175,0.0754717,0.0625,0.0727273,0.0571429,0.0217391,0.0505051,0.0120482,0.0786517,0.0909091,0.1092437,0.0542169
Ruffed Grouse,0.0046729,0.0087719,0.0078125,0.0520833,0.0102041,0.0152672,0.0086957,0.0277778,0.0076336,0.0050251,0.0131579,0.0182927,0.0,0.0901639,0.0517241,0.0479452,0.0892857,0.029703,0.078125,0.0633803,0.0322581,0.0344828,0.0471698,0.0015,0.0104167,0.02,0.0263158,0.0,0.0,0.0015,0.0,0.0588235,0.03125,0.0277778,0.0015,0.027027,0.05,0.0188679,0.015625,0.0363636,0.0015,0.0015,0.020202,0.0240964,0.0,0.0,0.0168067,0.0015
Ring-necked Pheasant,0.0140187,0.0,0.015625,0.0,0.0102041,0.0,0.0043478,0.0,0.0,0.0050251,0.0087719,0.0060976,0.0,0.0081967,0.0,0.0136986,0.0,0.0,0.0078125,0.0070423,0.016129,0.0015,0.0188679,0.03125,0.0,0.0,0.0263158,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0434783,0.010101,0.0,0.0,0.0,0.0,0.0
Chukar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rock Pigeon,0.1168224,0.0701754,0.109375,0.0625,0.0816327,0.0381679,0.0304348,0.0138889,0.1068702,0.0502513,0.0614035,0.054878,0.0206897,0.0245902,0.0344828,0.0068493,0.0015,0.009901,0.015625,0.0211268,0.0015,0.0,0.0188679,0.09375,0.03125,0.08,0.0526316,0.031746,0.0454545,0.0697674,0.015625,0.0015,0.0,0.0277778,0.0,0.0015,0.025,0.0,0.015625,0.0181818,0.0428571,0.0434783,0.0808081,0.0240964,0.1235955,0.0363636,0.1512605,0.1445783
Mourning Dove,0.364486,0.4122807,0.4765625,0.3958333,0.4285714,0.4274809,0.426087,0.4444444,0.389313,0.3517588,0.3157895,0.2926829,0.4137931,0.3770492,0.5517241,0.4726027,0.4821429,0.5346535,0.484375,0.443662,0.516129,0.4827586,0.4433962,0.5104167,0.4375,0.5,0.7105263,0.6349206,0.5757576,0.6511628,0.46875,0.5588235,0.5,0.4166667,0.3409091,0.2162162,0.5,0.2641509,0.28125,0.2272727,0.2857143,0.3478261,0.2727273,0.4096386,0.4044944,0.5454545,0.4537815,0.4879518
Yellow-billed Cuckoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009901,0.03125,0.0352113,0.0322581,0.0689655,0.0188679,0.0208333,0.0104167,0.0,0.0789474,0.0,0.0,0.0015,0.0,0.0,0.0,0.0277778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black-billed Cuckoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019802,0.0390625,0.084507,0.0483871,0.1034483,0.0188679,0.03125,0.0208333,0.08,0.0526316,0.0,0.0,0.0232558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common Nighthawk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234375,0.0492958,0.0322581,0.0,0.0,0.0,0.0015,0.02,0.0263158,0.0,0.0,0.0,0.0015,0.0441176,0.21875,0.0277778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eastern Whip-poor-will,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068493,0.0089286,0.009901,0.015625,0.0211268,0.0322581,0.0,0.0188679,0.0104167,0.0,0.0015,0.0263158,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chimney Swift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178571,0.019802,0.0234375,0.0422535,0.0322581,0.0114943,0.0188679,0.0015,0.0015,0.08,0.0526316,0.0634921,0.0454545,0.0232558,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruby-throated Hummingbird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068493,0.0267857,0.1584158,0.0859375,0.1197183,0.0645161,0.183908,0.0754717,0.1041667,0.1041667,0.12,0.1842105,0.2222222,0.1818182,0.255814,0.265625,0.2205882,0.40625,0.3055556,0.0681818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virginia Rail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0410959,0.0357143,0.0,0.0546875,0.0492958,0.0806452,0.045977,0.0,0.03125,0.0104167,0.0,0.0,0.0,0.0,0.0,0.0,0.0147059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060241
Sora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205479,0.0178571,0.019802,0.03125,0.0211268,0.0483871,0.0344828,0.0471698,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common Gallinule,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Coot,0.0046729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004386,0.0,0.0068966,0.0081967,0.0172414,0.0068493,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0181818,0.0,0.0217391,0.020202,0.0120482,0.011236,0.0,0.0,0.0
